"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
2;"C7,C5,C4";"C_0603_1608Metric";3;"0.1uF";;;
3;"USB1";"HRO-TYPE-C-31-M-12";1;"HRO-TYPE-C-31-M-12";;;
4;"SW4,SW3,SW2,SW1";"CherryMX_Hotswap_clear";4;"MXSwitch";;;
5;"H1";"HOLE";1;"MountingHole";;;
6;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
7;"U2";"SOT-143";1;"PRTR5V0U2X";;;
8;"RST_SW1";"SKQG-1155865";1;"SW_Push";;;
9;"R6,R3";"R_0805_2012Metric";2;"5.1K";;;
10;"R5,R4";"R_0805_2012Metric";2;"22";;;
11;"R2,R1";"R_0805_2012Metric";2;"10K";;;
12;"LED4,LED3,LED2,LED1";"YS-SK6812MINI-E";4;"YS-SK6812MINI-E";;;
13;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
14;"D4,D3,D2,D1";"D3_SMD_v2";4;"D";;;
15;"C6";"C_0603_1608Metric";1;"10uF";;;
16;"C3";"C_0603_1608Metric";1;"1uF";;;
17;"C2,C1";"C_0603_1608Metric";2;"22pF";;;
